title,story,level
A GOOD BOY,"Billy always listens to his mother. He always does what she says. If his mother says, ""Brush your teeth,"" Billy brushes his teeth. If his mother says, ""Go to bed,"" Billy goes to bed. Billy is a very good boy. A good boy listens to his mother. His mother doesn't have to ask him again. She asks him to do something one time, and she doesn't ask again. Billy is a good boy. He does what his mother asks the first time. She doesn't have to ask again. She tells Billy, ""You are my best child."" Of course Billy is her best child. Billy is her only child.",hard
A LONG LIFE,"Nancy wants to live a long time. She wants to live for one hundred years. She is five years old now. She wants to live 95 more years. Then she will be 100. Her father is 30 years old. He wants to live a long time, too. He wants to live for one hundred years. He wants to live for 70 more years. ""Daddy, we will grow old together, okay?"" Nancy said to her father. ""Yes, honey, we will grow old together,"" he said to Nancy. Then Nancy smiled. She gave her daddy a big hug.",hard
BARKING DOG,"Bobby woke up because he heard a dog. He heard a dog barking outside his window. Bobby woke up when he heard the dog barking. Bobby got out of bed. He got out of bed and walked to the window. He looked out the window. He saw a big brown dog. It was barking very loud. Bobby opened his window. He looked at the barking dog. ""Why are you barking so loud?"" he asked the dog. The dog looked at Bobby. Then it stopped barking.",hard
LOST PENCIL,"David lost his yellow pencil. He could not find it. ""Where is my yellow pencil?"" he asked his sister. His sister did not know. ""I don't know where your pencil is,"" she said. David thought about it. He thought and thought. He used his yellow pencil before lunch. He used it to write a note to his teacher. The note said, ""Dear teacher, Thank you for helping me. David."" He put the note in an envelope. Where was the envelope? He looked in the kitchen. He looked on the kitchen counter. He found the envelope. It was next to the toaster. He found the pencil. It was under the toaster.",hard
HORSE RIDER,"""Can I ride my horse, Mommy?"" Sara asked her mom. Sara loved to ride her horse. She rode her horse almost every Saturday. ""Okay, honey, get ready to go,"" her mom said. Sara was happy. She went into her bedroom. She put her pink socks on. She put her pink sneakers on. She grabbed her pink hat. She went to the front door. ""I'm going to wait in the car,"" she told her mom. ""Okay, I'll be there in a minute,"" her mom said. Sara opened the car door. She sat down in the front seat. She put on her hat. She was excited.",hard
YELLOW CORN,"Brian sat down for dinner. He sat down in the chair. He sat down at the table. He looked at his white plate. He looked at his silver fork. He looked at his silver spoon. His dad said, ""Pass me your plate, Brian."" His dad put white rice on the plate. His dad put yellow corn on the plate. His dad put green peas on the plate. He gave the plate back to Brian. ""This looks delicious,"" Brian said. ""It is delicious,"" his dad said. Brian wondered why corn was yellow. He wondered why peas were green. He wondered if there were yellow peas and green corn.",hard
ROW YOUR BOAT,"Brenda sang a song. She sang the song while she walked to school. The name of the song was ""Row, Row, Row Your Boat."" Brenda liked to sing this song. It was her favorite song to sing. She sang it every day while she walked to school. Sometimes she sang it with her best friend. Sometimes her best friend walked to school with Brenda. Then they both sang the song together. Brenda liked the song because it was easy to remember the words. ""Row, row, row your boat"" are easy words to remember.",hard
THE JUMPER,"Johnny jumped over the dog. The dog was lying on the ground. Johnny jumped over it. The dog saw Johnny jump over it. The dog got up. The dog got up and barked at Johnny. Johnny laughed. He laughed while the dog barked. Johnny ran over to the fence. The dog chased him to the fence. Johnny jumped over the fence. He turned around and looked at the dog. The dog stopped at the fence. The dog could not jump over the fence. Johnny said, ""Jump, jump!"" The dog barked, but did not jump.",hard
CHOCOLATE MILK,James took the milk out of the refrigerator. He put the carton of milk on the counter. He took the cap off the carton of milk. He opened the kitchen cabinet. He took a glass out of the cabinet. He put the glass on the counter next to the milk. He poured some milk into the glass. He put the cap back on the carton of milk. He put the milk back into the refrigerator. He took the chocolate syrup out of the refrigerator. He poured some chocolate syrup into the glass of milk. He stirred the milk with a spoon. He licked the spoon.,hard
GO TO WORK,Patricia did not have much time. It was time to go to work. She did not want to be late for work. She would lose her job if she was late. She finished her coffee. She drank the last drop. She put the coffee cup in the kitchen sink. She turned on the kitchen faucet. She poured water into the cup. She turned off the faucet. She picked up her keys. The keys were on the kitchen table. She grabbed her gray coat. Her gray coat was on the chair. The chair was next to the door. She walked outside. She locked her door with her house key.,hard
FRESH FISH,"Mike was ready for bed. It was 11 o'clock. He had to get up early the next day. The next day he was going fishing. Fish wake up early. They look for food early in the day. They look for food late in the day. The best time to fish is early or late in the day. That is when the fish are hungry. Mike set his alarm. He set his alarm for 5 o'clock. The next day he would start fishing at 6 o'clock. He wanted to catch four or five fish. If he caught four or five fish, he could eat fresh fish all week. Fresh fish is the best fish. Mike went to bed.",hard
BUY A NEW CAR,"Linda wants to buy a new car. She has an old car. Her old car is a white Honda. Linda wants to buy a new Honda. She wants to buy a new red Honda. She has saved $1,000. She will use $1,000 to help buy the new car. She will give $1,000 to the Honda dealer. The Honda dealer will give her a contract to sign. The contract will require her to pay $400 a month for seven years. Her new red Honda will cost Linda a lot of money. But that's okay, because Linda makes a lot of money.",hard
A THIN MAN,"Richard is a light eater. He doesn't eat much. He isn't a heavy eater. He eats a light breakfast, a light lunch, and a light dinner. Richard is not fat. He is thin. He will always be thin, because he is a light eater. He eats a bowl of cereal for breakfast. He eats a bowl of cereal with milk. He eats a sandwich for lunch. Sometimes it's a fish sandwich. He likes fish. He eats rice and vegetables for dinner. All he eats for dinner is rice and vegetables. He will never get fat.",hard
